
OPTIMIZING FINAL MODEL ON WHOLE DATASET

COMPUTING LOCAL ACTIVE FEATURES
Existing features: 5937
Applying union strategy for feature selection using composite feature selector with
categorical: feature selector any na and anova
survival: feature selector Cox

Computing active features for outcome type
Features selected for this outcome: 5908
Features active in total: 5908
Computing feature importance
Running optimizer

CREATING INNER FOLDS

ASSIGNING STRATA FOR MULTI-OUTCOME DATA KIDNEY_IHC_DET
Assigning strata for outcome named type of type categorical
Counts:
ChRCC: 81
PRCC T1: 160
PRCC T2: 69
ccRCC: 485
normal: 129

RUNNING GENETIC ALGORITHM
Generations completed = 81
Generations completed = 150
Generations completed = 210
Generations completed = 266
Generations completed = 318
Generations completed = 368
Generations completed = 416
Generations completed = 460
Generations completed = 498
   	     	         	        	   type random forest (msl4) balanced accuracy   	                 root leanness                  
   	     	         	        	-------------------------------------------------	------------------------------------------------
gen	evals	gen_feats	explored	min	avg     	max     	std                  	min     	avg     	max	std     
(0.8945362668235664, 0.408248290463863) 5 features: [0_CNTN2, 0_HNF1B, 0_NDUFA4L2, 0_SGSM1, 0_SQSTM1]
(0.8859120707700706, 0.4472135954999579) 4 features: [0_CA9, 0_HNF1B, 0_SGSM1, 0_SQSTM1]
(0.864775407650118, 0.5) [0_PLCG2, 0_STC2, 0_UPK1B]
(0.8199126824366749, 0.5773502691896257) [0_PLCG2, 0_STC2]
(0.6779628834964937, 0.7071067811865476) [0_PLCG2]
(0.2, 1.0) []
Features in hall of fame by prevalence:
30 features: [0_SQSTM1, 0_HNF1B, 0_NDUFA4L2, 0_GRPEL2, 0_RBM17, 0_AKR1C3, 0_BCKDHA, 0_OSBPL1A, 0_ZKSCAN4, 0_DDB2, 0_ATP6V1B1, 0_PLCG2, 0_RAD1, 0_CCNDBP1, 0_PHKA2, 0_SGSM1, 0_SPOCK2, 0_STC2, 0_CA9, 0_CMAS, 0_CNTN2, 0_DERL1, 0_GAS2L1, 0_LDB2, 0_MTCH1, 0_RAB3D, 0_SENP8, 0_SYNC, 0_UGT1A6, 0_UPK1B]

LAST POPULATION
Number of solutions = 500
Features in hall of fame by prevalence:
302 features: [0_SQSTM1, 0_NDUFA4L2, 0_HNF1B, 0_GRPEL2, 0_RBM17, 0_ZKSCAN4, 0_DDB2, 0_BCKDHA, 0_OSBPL1A, 0_AKR1C3, 0_SPOCK2, 0_ATP6V1B1, 0_PHKA2, 0_UGT1A6, 0_RAD1, 0_ENPP3, 0_CNTN2, 0_PLCG2, 0_CCNDBP1, 0_SGSM1, 0_LDB2, 0_CA9, 0_STC2, 0_BNIP3, 0_MGAM, 0_ELF3, 0_ATRX, 0_DYM, 0_LGI4, 0_CFB, 0_GAS2L1, 0_GLRX5, 0_SDF2L1, 0_CECR2, 0_PLXNB1, 0_PRDX2, 0_UPK1B, 0_ZC3H12C, 0_CAPN1, 0_DMGDH, 0_HDAC5, 0_KIAA0753, 0_PRDM11, 0_SENP8, 0_UBA5, 0_CISD1, 0_EMCN, 0_GTPBP8, 0_HUNK, 0_IK, 0_KCTD20, 0_KIF1B, 0_NAV2, 0_NOL3, 0_RABEP2, 0_SNRNP48, 0_TMEM165, 0_ACSL4, 0_ATP6V1A, 0_BRPF1, 0_CAP2, 0_CDC23, 0_CDCP1, 0_CLDN12, 0_CLEC4C, 0_FABP7, 0_FAIM, 0_FAM13C, 0_FZD1, 0_GM2A, 0_HAUS1, 0_ISOC2, 0_KPNA1, 0_MET, 0_NBAS, 0_OCIAD1, 0_PPP4C, 0_SH3PXD2B, 0_SPRY1, 0_STC1, 0_TACO1, 0_TBKBP1, 0_TEK, 0_ZSCAN18, 0_ALDH1A1, 0_ALG10B, 0_ARL10, 0_CEP76, 0_CHCHD1, 0_CLDN4, 0_DCTN1, 0_DEPDC1B, 0_EPHX2, 0_GPRIN1, 0_HP1BP3, 0_ISCU, 0_IWS1, 0_KCTD11, 0_LARS2, 0_MANSC1, 0_NLGN1, 0_NPTN, 0_PUF60, 0_RASSF4, 0_RPS10, 0_SCFD1, 0_SFXN3, 0_SIRT6, 0_SLC15A4, 0_SLC38A7, 0_SMARCB1, 0_SYTL1, 0_TAF8, 0_TBC1D14, 0_TEX2, 0_TMPRSS2, 0_ZNF280C, 0_ABCB8, 0_ACSM2B, 0_ACSS1, 0_ADCY2, 0_ALDH18A1, 0_ANPEP, 0_AP4S1, 0_APBB1, 0_ARHGEF2, 0_ARID1A, 0_ARV1, 0_ASCC3, 0_ATF1, 0_ATP6AP1, 0_ATP6V1G1, 0_ATP6V1H, 0_B3GNT3, 0_BAMBI, 0_BARX2, 0_BCL7A, 0_BHMT2, 0_BIRC6, 0_BLVRB, 0_BNIP3L, 0_C1orf109, 0_C1orf226, 0_C5orf24, 0_C5orf46, 0_CAB39L, 0_CAV1, 0_CD200, 0_CD24, 0_CD2AP, 0_CD53, 0_CDK18, 0_CFL2, 0_CLVS1, 0_CMAS, 0_COL4A1, 0_COL6A2, 0_COMTD1, 0_COPS6, 0_COX10, 0_COX6C, 0_CRYAB, 0_CSDE1, 0_CSNK1G3, 0_DDX42, 0_DERL1, 0_DERL3, 0_DGKA, 0_DHX29, 0_DMAP1, 0_DNAJA3, 0_DNM1L, 0_DPF2, 0_DYNLRB1, 0_EMD, 0_ENOSF1, 0_ERLIN2, 0_EYA4, 0_FAM114A2, 0_FEM1B, 0_FEN1, 0_FGF9, 0_FGFR4, 0_GABARAPL1, 0_GALNS, 0_GATAD2B, 0_GGT7, 0_GLIS3, 0_GPRC5C, 0_GRSF1, 0_GTF2F2, 0_GTF2H1, 0_GTPBP3, 0_HKDC1, 0_HMG20A, 0_HNRNPC, 0_HOXA10, 0_HTATIP2, 0_IGF2BP2, 0_ING2, 0_ITGB3, 0_ITIH1, 0_LONP1, 0_LPCAT1, 0_LPIN1, 0_LRP4, 0_MAML1, 0_MANBA, 0_MEPCE, 0_MLPH, 0_MLXIP, 0_MRPL13, 0_MRPL38, 0_MT1A, 0_MTAP, 0_MTCH1, 0_MTMR11, 0_MUC1, 0_MXI1, 0_MYO18A, 0_MYO19, 0_MYO3A, 0_MYO3B, 0_N4BP2L1, 0_NAA25, 0_NANOS2, 0_NASP, 0_NEK1, 0_NOSTRIN, 0_NR3C2, 0_NR5A2, 0_NUCB1, 0_ODC1, 0_OSMR, 0_OXNAD1, 0_P4HTM, 0_PABPN1, 0_PANK3, 0_PCCA, 0_PCDHGA1, 0_PCDHGB2, 0_PIGN, 0_PIK3CA, 0_PITPNM2, 0_PKIB, 0_PLA2G5, 0_PLD2, 0_PLEKHA6, 0_PPP3R1, 0_PROC, 0_PRODH, 0_PRPF40A, 0_RAB31, 0_RAB3D, 0_RABEP1, 0_RAD51, 0_RAPGEF4, 0_RBBP9, 0_REM1, 0_RIT1, 0_RORA, 0_RPL29, 0_RSBN1, 0_SAMHD1, 0_SAT1, 0_SCAMP4, 0_SEC31A, 0_SECISBP2L, 0_SIRT7, 0_SLC13A3, 0_SLC9A2, 0_SMU1, 0_SNAI1, 0_STX8, 0_SUPT3H, 0_SURF2, 0_SYMPK, 0_SYNGR3, 0_TBC1D16, 0_TBCA, 0_TCF7L2, 0_TFB1M, 0_TMEM109, 0_TMEM116, 0_TMEM168, 0_TMEM175, 0_TMEM176A, 0_TMOD1, 0_TTC4, 0_UBAP1, 0_USP15, 0_VAC14, 0_VARS2, 0_VIM, 0_WDR24, 0_ZC3H18, 0_ZDHHC17, 0_ZDHHC24, 0_ZFAND3, 0_ZNF211, 0_ZNF268, 0_ZNF304]

BEST SUMS WITH SIZE 50
Number of solutions = 50
Features in hall of fame by prevalence:
39 features: [0_PLCG2, 0_STC2, 0_SQSTM1, 0_LDB2, 0_ENPP3, 0_HNF1B, 0_NDUFA4L2, 0_PLXNB1, 0_AKR1C3, 0_CA9, 0_FAM13C, 0_NOL3, 0_PHKA2, 0_UPK1B, 0_ALDH1A1, 0_ATP6V1B1, 0_BARX2, 0_C1orf226, 0_CAV1, 0_CCRL2, 0_COL4A1, 0_CRYAB, 0_GRSF1, 0_IGF2BP2, 0_ISCU, 0_LARS2, 0_LGI4, 0_N4BP2L1, 0_NOSTRIN, 0_NPTN, 0_NR5A2, 0_PCCA, 0_RAPGEF4, 0_SLC15A4, 0_TBC1D14, 0_TEK, 0_TMEM176A, 0_VAC14, 0_ZFAND3]

BEST SUMS WITH SIZE 100
Number of solutions = 100
Features in hall of fame by prevalence:
64 features: [0_PLCG2, 0_NDUFA4L2, 0_SQSTM1, 0_AKR1C3, 0_STC2, 0_LDB2, 0_ENPP3, 0_HNF1B, 0_CA9, 0_NOL3, 0_PHKA2, 0_PLXNB1, 0_FAM13C, 0_LGI4, 0_ALDH1A1, 0_ATP6V1A, 0_ATP6V1B1, 0_UPK1B, 0_ACSM2B, 0_CRYAB, 0_DDB2, 0_TBC1D14, 0_BAMBI, 0_BARX2, 0_BHMT2, 0_C1orf226, 0_CAV1, 0_CCRL2, 0_CD24, 0_CFL2, 0_COL4A1, 0_DGKA, 0_EFHC1, 0_FBXO33, 0_GJA4, 0_GPRIN1, 0_GRSF1, 0_HNMT, 0_IGF2BP2, 0_ISCU, 0_KIFAP3, 0_KISS1R, 0_LARS2, 0_MANSC1, 0_N4BP2L1, 0_NOSTRIN, 0_NPTN, 0_NR5A2, 0_PCCA, 0_PCDHB4, 0_PLEKHG1, 0_RAPGEF4, 0_SLC15A4, 0_SLC9A2, 0_SPRY1, 0_STAB1, 0_SYNJ2BP, 0_TEK, 0_TMEM115, 0_TMEM176A, 0_TNFRSF10B, 0_VAC14, 0_ZFAND3, 0_ZNF211]

SAVING FEATURES AND FITNESSES FOR EACH SELECTED INDIVIDUAL TO FILES.
